"FinancialYear","HBT","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"2005/06","S08000022","SMR01"," ",1000,1000,880,730," ",":"
"2005/06","S08000022","SMR04"," ",1420,1450,1390,1100,"270"," "
"2005/06","S08000032","Total","d",3640,3660,3080,2440,"510"," "
"2005/06","S08000032","SMR01"," ",1000,1000,760,660," ",":"
"2005/06","S08000032","SMR04"," ",2640,2650,2320,1870,"510"," "
"2005/06","S08000024","Total","d",6080,6140,5240,4010,"730"," "
"2005/06","S08000024","SMR01"," ",1510,1510,1200,1080," ",":"
"2005/06","S08000024","SMR04"," ",4560,4640,4040,3070,"730"," "
"2005/06","S08000025","Total","d",50,50,50,40,"0"," "
"2005/06","S08000025","SMR01"," ",50,50,50,40," ",":"
"2005/06","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2005/06","S08000026","Total","d",60,60,60,50,"0"," "
"2005/06","S08000026","SMR01"," ",60,60,60,50," ",":"
"2005/06","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2005/06","S08000030","Total","d",2580,2610,2410,1920,"390"," "
"2005/06","S08000030","SMR01"," ",440,450,440,410," ",":"
"2005/06","S08000030","SMR04"," ",2140,2160,1960,1560,"390"," "
"2005/06","S08000028","Total","d",370,380,370,270,"40"," "
"2005/06","S08000028","SMR01"," ",210,210,210,170," ",":"
"2005/06","S08000028","SMR04"," ",160,170,160,120,"40"," "
"2005/06","SB0802","Total","d",210,230,30,150,"210"," "
